Reference number,Species (latin name),Key origin,YEAR PUBLISHED,Sample size (size),Size MIN (kg),Size MAX (kg),Size MEAN (kg),Size error (kg),"UNIT, Size error (kg)",Length MIN (cm),Length MAX (cm),Length MEAN (cm),Size error (cm),"UNIT, Size error (cm)",UNIT,Sex (F/ M/mixed),Temp test mean (deg C),"Salinity (SW, FW, or SW/FW for brackish )",Swim  test,Indiv or group ,ID_fish,Swim speed MIN (BL/s) ,Swim speed MAX BL/s,Swim speed MEAN BL/s,Swim speed SE BL/s,UNIT error,Duration swim or duration of the swim test (h) / W notes,swim speed MIN (cm/s),swim speed MAX (cm/s),swim speed MEAN (cm/s),Swim error (cm/s),"UNIT, error (cm/s)",Water discharge or flow rates (cm/s),Water discharge or flow rates (m^3/s),Water/swim conditions (EXTRINSIC),Fish Condition (INTRINSIC),GSI (% MEAN),Gonad Weight,Blood sample analysis? (y/n),Mortality (y/n),Surgery ,"Recovery: (n, repeat, Metabolism, RR, blood,speed)",Tracking (y/n),"Unit source (text, table, plot) ",Full Reference,N_swim
54,Oncorhynchus nerka,wild,1957,1,,,,,,,,59.055,,,FL,F,14.44444444,FW,Swim-1,indiv,54_ID-14,,,,,,0,,,173.736,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus nerka,wild,1957,1,,,,,,,,68.58,,,FL,M,14.44444444,FW,Swim-1,indiv,54_ID-15,,,,,,0,,,158.496,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus nerka,wild,1957,1,,,,,,,,69.85,,,FL,M,14.44444444,FW,Swim-2,indiv,54_ID-9,,,,,,0,,,167.64,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus nerka,wild,1957,1,,,,,,,,62.865,,,FL,M,14.44444444,FW,Swim-2,indiv,54_ID-10,,,,,,0,,,167.64,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus nerka,wild,1957,1,,,,,,,,62.23,,,FL,M,14.44444444,FW,Swim-2,indiv,54_ID-11,,,,,,0,,,192.024,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus nerka,wild,1957,1,,,,,,,,64.77,,,FL,M,14.44444444,FW,Swim-2,indiv,54_ID-12,,,,,,0,,,185.928,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus nerka,wild,1957,1,,,,,,,,54.61,,,FL,F,14.44444444,FW,Swim-2,indiv,54_ID-13,,,,,,0,,,149.352,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus nerka,wild,1957,1,,,,,,,,59.055,,,FL,F,14.44444444,FW,Swim-2,indiv,54_ID-14,,,,,,0,,,182.88,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus nerka,wild,1957,1,,,,,,,,68.58,,,FL,M,14.44444444,FW,Swim-2,indiv,54_ID-15,,,,,,0,,,164.592,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus nerka,wild,1957,1,,,,,,,,69.85,,,FL,M,14.44444444,FW,Swim-3,indiv,54_ID-9,,,,,,0,,,161.544,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus nerka,wild,1957,1,,,,,,,,62.865,,,FL,M,14.44444444,FW,Swim-3,indiv,54_ID-10,,,,,,0,,,176.784,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus nerka,wild,1957,1,,,,,,,,62.23,,,FL,M,14.44444444,FW,Swim-3,indiv,54_ID-11,,,,,,0,,,198.12,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus nerka,wild,1957,1,,,,,,,,64.77,,,FL,M,14.44444444,FW,Swim-3,indiv,54_ID-12,,,,,,0,,,179.832,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus nerka,wild,1957,1,,,,,,,,54.61,,,FL,F,14.44444444,FW,Swim-3,indiv,54_ID-13,,,,,,0,,,161.544,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus nerka,wild,1957,1,,,,,,,,68.58,,,FL,M,14.44444444,FW,Swim-3,indiv,54_ID-15,,,,,,0,,,158.496,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus nerka,wild,1957,1,,,,,,,,69.85,,,FL,M,14.44444444,FW,Swim-3,indiv,54_ID-9,,,,,,0,,,149.352,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus nerka,wild,1957,1,,,,,,,,54.61,,,FL,F,14.44444444,FW,Swim-4,indiv,54_ID-13,,,,,,0,,,155.448,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,54.61,,,FL,M,10.13888889,FW,Swim-1,indiv,54_ID-1,,,,,,0,,,192.024,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,67.31,,,FL,M,10.13888889,FW,Swim-1,indiv,54_ID-2,,,,,,0,,,179.832,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,66.675,,,FL,M,10.13888889,FW,Swim-1,indiv,54_ID-3,,,,,,0,,,182.88,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,55.88,,,FL,F,10.13888889,FW,Swim-1,indiv,54_ID-4,,,,,,0,,,185.928,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,57.15,,,FL,F,10.13888889,FW,Swim-1,indiv,54_ID-5,,,,,,0,,,164.592,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,51.435,,,FL,F,10.13888889,FW,Swim-1,indiv,54_ID-6,,,,,,0,,,198.12,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,57.785,,,FL,M,10.13888889,FW,Swim-1,indiv,54_ID-7,,,,,,0,,,195.072,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,52.07,,,FL,M,10.13888889,FW,Swim-1,indiv,54_ID-8,,,,,,0,,,213.36,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,44.45,,,FL,F,10.13888889,FW,Swim-1,indiv,54_ID-9,,,,,,0,,,213.36,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,54.61,,,FL,M,10.13888889,FW,Swim-2,indiv,54_ID-1,,,,,,0,,,167.64,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,67.31,,,FL,M,10.13888889,FW,Swim-2,indiv,54_ID-2,,,,,,0,,,192.024,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,66.675,,,FL,M,10.13888889,FW,Swim-2,indiv,54_ID-3,,,,,,0,,,170.688,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,55.88,,,FL,F,10.13888889,FW,Swim-2,indiv,54_ID-4,,,,,,0,,,188.976,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,57.15,,,FL,F,10.13888889,FW,Swim-2,indiv,54_ID-5,,,,,,0,,,161.544,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,51.435,,,FL,F,10.13888889,FW,Swim-2,indiv,54_ID-6,,,,,,0,,,192.024,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,57.785,,,FL,M,10.13888889,FW,Swim-2,indiv,54_ID-7,,,,,,0,,,207.264,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,52.07,,,FL,M,10.13888889,FW,Swim-2,indiv,54_ID-8,,,,,,0,,,219.456,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,44.45,,,FL,F,10.13888889,FW,Swim-2,indiv,54_ID-9,,,,,,0,,,167.64,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,54.61,,,FL,M,10.13888889,FW,Swim-3,indiv,54_ID-1,,,,,,0,,,170.688,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,67.31,,,FL,M,10.13888889,FW,Swim-3,indiv,54_ID-2,,,,,,0,,,216.408,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,66.675,,,FL,M,10.13888889,FW,Swim-3,indiv,54_ID-3,,,,,,0,,,185.928,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,55.88,,,FL,F,10.13888889,FW,Swim-3,indiv,54_ID-4,,,,,,0,,,198.12,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,57.15,,,FL,F,10.13888889,FW,Swim-3,indiv,54_ID-5,,,,,,0,,,155.448,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,51.435,,,FL,F,10.13888889,FW,Swim-3,indiv,54_ID-6,,,,,,0,,,188.976,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,57.785,,,FL,M,10.13888889,FW,Swim-3,indiv,54_ID-7,,,,,,0,,,213.36,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,52.07,,,FL,M,10.13888889,FW,Swim-3,indiv,54_ID-8,,,,,,0,,,213.36,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
54,Oncorhynchus keta,wild,1957,1,,,,,,,,44.45,,,FL,F,10.13888889,FW,Swim-3,indiv,54_ID-9,,,,,,0,,,201.168,,,,,,,,,n,y,,repeat,n,table,"Paulik, Garald., J, and Allan. DeLacy C. 1957. “Swimming Abilities of Upstream Migrant Silver Salmon, Sockeye Salmon, and Steelhead at Several Water Velocities.” Technical Report 44. School of Fisheries: University of Washington.",1
55,Salmo salar,wild,2003,7,,,0.5357,0.0481,se,,,37,1.1,se,FL,mixed,10.4,SW,Ucrit-1,group,55_1009,,,2.6,0.1,se,,,,,,,,,,,,,y,n,,n,n,table,"Wagner, G. N., R. S. McKinley, P. A. Bjørn, and B. Finstad. 2003. “Physiological Impact of Sea Lice on Swimming Performance of Atlantic Salmon.” Journal of Fish Biology 62 (5): 1000–1009. https://doi.org/10.1046/j.1095-8649.2003.00091.x.",7
55,Salmo salar,wild,2003,12,,,0.6565,0.0711,se,,,38.5,1.6,se,FL,mixed,10.4,SW,Ucrit-1,group,55_1010,,,2.5,0.1,se,,,,,,,,,,infection,,,y,n,,n,n,table,"Wagner, G. N., R. S. McKinley, P. A. Bjørn, and B. Finstad. 2003. “Physiological Impact of Sea Lice on Swimming Performance of Atlantic Salmon.” Journal of Fish Biology 62 (5): 1000–1009. https://doi.org/10.1046/j.1095-8649.2003.00091.x.",14
55,Salmo salar,wild,2003,7,,,0.6333,0.0871,se,,,39,1.8,se,FL,mixed,10.4,SW,Ucrit-1,group,55_1011,,,2.1,0.1,se,,,,,,,,,,infection,,,y,n,,n,n,table,"Wagner, G. N., R. S. McKinley, P. A. Bjørn, and B. Finstad. 2003. “Physiological Impact of Sea Lice on Swimming Performance of Atlantic Salmon.” Journal of Fish Biology 62 (5): 1000–1009. https://doi.org/10.1046/j.1095-8649.2003.00091.x.",7
56,Salmo salar,wild,1998,18,,,1.16,0.18,sd,,,51.2,2.3,sd,FL,mixed,10.1,FW,Field,group,56_1012,,6.165,3.831,,,0,,323.9,201.9,,,155,,,mature,,,n,n,RadioTag,behavior,y,table,"Colavecchia, M., C. Katopodis, R. Goosney, D. A. Scruton, and R. S. McKinley. 1998. “Measurement of Burst Swimming Performance in Wild Atlantic Salmon (Salmo Salar L.) Using Digital Telemetry.” Regulated Rivers: Research & Management 14 (1): 41–51. https://doi.org/10.1002/(SICI)1099-1646(199801/02)14:1<41::AID-RRR475>3.0.CO;2-8.",18
56,Salmo salar,wild,1998,18,,,1.16,0.18,sd,,,51.2,2.3,sd,FL,mixed,10.1,FW,Field,group,56_1013,,6.916,4.593,,,0,,343.7,228.7,,,192,,,mature,,,n,n,RadioTag,behavior,y,table,"Colavecchia, M., C. Katopodis, R. Goosney, D. A. Scruton, and R. S. McKinley. 1998. “Measurement of Burst Swimming Performance in Wild Atlantic Salmon (Salmo Salar L.) Using Digital Telemetry.” Regulated Rivers: Research & Management 14 (1): 41–51. https://doi.org/10.1002/(SICI)1099-1646(199801/02)14:1<41::AID-RRR475>3.0.CO;2-8.",18
56,Salmo salar,wild,1998,18,,,1.16,0.18,sd,,,51.2,2.3,sd,FL,mixed,10.1,FW,Field,group,56_1014,,7.906,6.19,,,0,,406,316.8,,,255,,,mature,,,n,n,RadioTag,behavior,y,table,"Colavecchia, M., C. Katopodis, R. Goosney, D. A. Scruton, and R. S. McKinley. 1998. “Measurement of Burst Swimming Performance in Wild Atlantic Salmon (Salmo Salar L.) Using Digital Telemetry.” Regulated Rivers: Research & Management 14 (1): 41–51. https://doi.org/10.1002/(SICI)1099-1646(199801/02)14:1<41::AID-RRR475>3.0.CO;2-8.",18
57,Salmo salar,wild,1997,na,,,,,,55,60,,,,,mixed,18,FW,Ucrit-1,group,57_1018,,,,,,0,,,216,18,se,,,,,,,n,n,,n,n,text,"Booth, Richard K., R. Scott McKinley, Finn Økland, and Mitch M. Sisak. 1997. “In Situ Measurement of Swimming Performance of Wild Atlantic Salmon ( Salmo Salar ) Using Radio Transmitted Electromyogram Signals.” Aquatic Living Resources 10 (4): 213–19. https://doi.org/10.1051/alr:1997023.",na
57,Salmo salar,wild,1997,na,,,,,,55,60,,,,,mixed,12,FW,Ucrit-1,group,57_1019,,,,,,0,,,176,6,se,,,,,,,n,n,,n,n,text,"Booth, Richard K., R. Scott McKinley, Finn Økland, and Mitch M. Sisak. 1997. “In Situ Measurement of Swimming Performance of Wild Atlantic Salmon ( Salmo Salar ) Using Radio Transmitted Electromyogram Signals.” Aquatic Living Resources 10 (4): 213–19. https://doi.org/10.1051/alr:1997023.",na
57,Salmo salar,wild,1997,na,,,,,,55,60,,,,,mixed,18,FW,Ucrit-1,group,57_1020,,,,,,0,,,210,5,se,,,,,,,n,n,EMGtag,n,n,text,"Booth, Richard K., R. Scott McKinley, Finn Økland, and Mitch M. Sisak. 1997. “In Situ Measurement of Swimming Performance of Wild Atlantic Salmon ( Salmo Salar ) Using Radio Transmitted Electromyogram Signals.” Aquatic Living Resources 10 (4): 213–19. https://doi.org/10.1051/alr:1997023.",na
57,Salmo salar,wild,1997,na,,,,,,55,60,,,,,mixed,12,FW,Ucrit-1,group,57_1021,,,,,,0,,,180,3,se,,,,,,,n,n,EMGtag,n,n,text,"Booth, Richard K., R. Scott McKinley, Finn Økland, and Mitch M. Sisak. 1997. “In Situ Measurement of Swimming Performance of Wild Atlantic Salmon ( Salmo Salar ) Using Radio Transmitted Electromyogram Signals.” Aquatic Living Resources 10 (4): 213–19. https://doi.org/10.1051/alr:1997023.",na
57,Salmo salar,wild,1997,na,,,,,,55,60,,,,,mixed,12,FW,TTF,group,57_1022,,,,,,119.1548,,,80.6533034,,,,,,,,,n,n,EMGtag,n,n,plot,"Booth, Richard K., R. Scott McKinley, Finn Økland, and Mitch M. Sisak. 1997. “In Situ Measurement of Swimming Performance of Wild Atlantic Salmon ( Salmo Salar ) Using Radio Transmitted Electromyogram Signals.” Aquatic Living Resources 10 (4): 213–19. https://doi.org/10.1051/alr:1997023.",5
57,Salmo salar,wild,1997,na,,,,,,55,60,,,,,mixed,12,FW,TTF,group,57_1023,,,,,,88.85164553,,,120.3626108,,,,,,,,,n,n,EMGtag,n,n,plot,"Booth, Richard K., R. Scott McKinley, Finn Økland, and Mitch M. Sisak. 1997. “In Situ Measurement of Swimming Performance of Wild Atlantic Salmon ( Salmo Salar ) Using Radio Transmitted Electromyogram Signals.” Aquatic Living Resources 10 (4): 213–19. https://doi.org/10.1051/alr:1997023.",5
57,Salmo salar,wild,1997,na,,,,,,55,60,,,,,mixed,12,FW,TTF,group,57_1024,,,,,,28.24507387,,,159.8411419,,,,,,,,,n,n,EMGtag,n,n,plot,"Booth, Richard K., R. Scott McKinley, Finn Økland, and Mitch M. Sisak. 1997. “In Situ Measurement of Swimming Performance of Wild Atlantic Salmon ( Salmo Salar ) Using Radio Transmitted Electromyogram Signals.” Aquatic Living Resources 10 (4): 213–19. https://doi.org/10.1051/alr:1997023.",5
57,Salmo salar,wild,1997,na,,,,,,55,60,,,,,mixed,12,FW,TTF,group,57_1025,,,,,,7.225484013,,,179.9267104,,,,,,,,,n,n,EMGtag,n,n,plot,"Booth, Richard K., R. Scott McKinley, Finn Økland, and Mitch M. Sisak. 1997. “In Situ Measurement of Swimming Performance of Wild Atlantic Salmon ( Salmo Salar ) Using Radio Transmitted Electromyogram Signals.” Aquatic Living Resources 10 (4): 213–19. https://doi.org/10.1051/alr:1997023.",5
57,Salmo salar,wild,1997,na,,,,,,55,60,,,,,mixed,12,FW,TTF,group,57_1026,,,,,,0.39411731,,,200.7048847,,,,,,,,,n,n,EMGtag,n,n,plot,"Booth, Richard K., R. Scott McKinley, Finn Økland, and Mitch M. Sisak. 1997. “In Situ Measurement of Swimming Performance of Wild Atlantic Salmon ( Salmo Salar ) Using Radio Transmitted Electromyogram Signals.” Aquatic Living Resources 10 (4): 213–19. https://doi.org/10.1051/alr:1997023.",5
57,Salmo salar,wild,1997,na,,,,,,55,60,,,,,mixed,12,FW,TTF,group,57_1027,,,,,,0.131372437,,,220.0978474,,,,,,,,,n,n,EMGtag,n,n,plot,"Booth, Richard K., R. Scott McKinley, Finn Økland, and Mitch M. Sisak. 1997. “In Situ Measurement of Swimming Performance of Wild Atlantic Salmon ( Salmo Salar ) Using Radio Transmitted Electromyogram Signals.” Aquatic Living Resources 10 (4): 213–19. https://doi.org/10.1051/alr:1997023.",5
57,Salmo salar,wild,1997,na,,,,,,55,60,,,,,mixed,18,FW,TTF,group,57_1028,,,,,,118.6293102,,,160.1644503,,,,,,,,,n,n,EMGtag,n,n,plot,"Booth, Richard K., R. Scott McKinley, Finn Økland, and Mitch M. Sisak. 1997. “In Situ Measurement of Swimming Performance of Wild Atlantic Salmon ( Salmo Salar ) Using Radio Transmitted Electromyogram Signals.” Aquatic Living Resources 10 (4): 213–19. https://doi.org/10.1051/alr:1997023.",5
