Reference number,Species (latin name),Key origin,YEAR PUBLISHED,Sample size (size),Size MIN (kg),Size MAX (kg),Size MEAN (kg),Size error (kg),"UNIT, Size error (kg)",Length MIN (cm),Length MAX (cm),Length MEAN (cm),Size error (cm),"UNIT, Size error (cm)",UNIT,Sex (F/ M/mixed),Temp test mean (deg C),"Salinity (SW, FW, or SW/FW for brackish )",Swim  test,Indiv or group ,ID_fish,Swim speed MIN (BL/s) ,Swim speed MAX BL/s,Swim speed MEAN BL/s,Swim speed SE BL/s,UNIT error,Duration swim or duration of the swim test (h) / W notes,swim speed MIN (cm/s),swim speed MAX (cm/s),swim speed MEAN (cm/s),Swim error (cm/s),"UNIT, error (cm/s)",Water discharge or flow rates (cm/s),Water discharge or flow rates (m^3/s),Water/swim conditions (EXTRINSIC),Fish Condition (INTRINSIC),GSI (% MEAN),Gonad Weight,Blood sample analysis? (y/n),Mortality (y/n),Surgery ,"Recovery: (n, repeat, Metabolism, RR, blood,speed)",Tracking (y/n),"Unit source (text, table, plot) ",Full Reference,N_swim
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,73.1,,,TL,mixed,9.5,SW,Field,indiv,5_ID-8509,,,1.24,,,0,,,97,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,66.9,,,TL,mixed,9.5,SW,Field,indiv,5_ID-8510,,,0.57,,,0,,,38.2,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,65.8,,,TL,mixed,16,SW,Field,indiv,5_ID-8511,,,0.9,,,0,,,59.1,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,64.8,,,TL,mixed,16,SW,Field,indiv,5_ID-8512,,,0.56,,,0,,,36.5,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,64.8,,,TL,mixed,16,SW,Field,indiv,5_ID-8513,,,0.5,,,0,,,32.2,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,70,,,TL,mixed,16,SW,Field,indiv,5_ID-8514,,,1.36,,,0,,,95,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,70,,,TL,mixed,16,SW,Field,indiv,5_ID-8516,,,1.51,,,0,,,106,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,69,,,TL,mixed,16,SW,Field,indiv,5_ID-8601,,,0.74,,,0,,,51.2,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,61.7,,,TL,mixed,16,SW,Field,indiv,5_ID-8602,,,1.75,,,0,,,108,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
5,Oncorhynchus nerka,wild,1988,1,,,,,,,,65.3,,,TL,mixed,16,SW,Field,indiv,5_ID-8603,,,0.5,,,0,,,32.8,,,,,,,,,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",1
