Track_ID,axis unit,Unit, ,Area,Mean,Min,Max,X,Y,Ref ,plot,
Ucrit-max(open),,cm/s,48,0,255,255,255,515,1070,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,49,0,255,255,255,515,1053,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,50,0,255,255,255,514,1030,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,51,0,32,32,32,514,940,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,52,0,255,255,255,529,780,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,53,0,255,255,255,529,1009,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,54,0,255,255,255,560,1041,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,55,0,255,255,255,583,920,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,56,0,255,255,255,583,871,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,57,0,255,255,255,620,1182,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,58,0,255,255,255,605,931,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,59,0,67,67,67,608,872,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,60,0,255,255,255,621,947,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,61,0,255,255,255,620,936,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,62,0,255,255,255,653,916,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,63,0,255,255,255,698,1125,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,64,0,255,255,255,698,960,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,65,0,255,255,255,698,804,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,66,0,98,98,98,743.667,900,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,67,0,255,255,255,767,975.333,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,68,0,255,255,255,789.667,959.333,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,69,0,255,255,255,789.667,928,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,70,0,255,255,255,812.333,990.667,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,71,0,255,255,255,835,956.667,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,72,0,255,255,255,895,1039.333,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,73,0,255,255,255,881.667,930,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,74,0,255,255,255,881,778,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,75,0,255,255,255,927.667,1056,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,76,0,255,255,255,932.333,919.333,9,3B,MacNutt et al 2005 
Ucrit-max(open),,cm/s,77,0,255,255,255,973,826,9,3B,MacNutt et al 2005 
y-axis,60,cm/s,78,0,32,32,32,235.667,1190.667,9,3B,MacNutt et al 2005 
y-axis,80,cm/s,79,0,32,32,32,235.667,1113,9,3B,MacNutt et al 2005 
y-axis,100,cm/s,80,0,32,32,32,235.667,1035,9,3B,MacNutt et al 2005 
y-axis,120,cm/s,81,0,32,32,32,235.333,956.667,9,3B,MacNutt et al 2005 
y-axis,140,cm/s,82,0,32,32,32,235.667,878.667,9,3B,MacNutt et al 2005 
y-axis,160,cm/s,83,0,67,67,67,235.5,801.5,9,3B,MacNutt et al 2005 
y-axis,180,cm/s,84,0,83,83,83,235,723.333,9,3B,MacNutt et al 2005 
x-axis,10,degC,85,0,32,32,32,428,654,9,3,MacNutt et al 2005 
x-axis,12,degC,86,0,32,32,32,523.5,654.5,9,3,MacNutt et al 2005 
x-axis,14,degC,87,0,32,32,32,619,654.5,9,3,MacNutt et al 2005 
x-axis,16,degC,88,0,32,32,32,713.667,654.667,9,3,MacNutt et al 2005 
x-axis,18,degC,89,0,32,32,32,809.333,654.667,9,3,MacNutt et al 2005 
x-axis,10,degC,90,0,32,32,32,422.5,1344.5,9,3,MacNutt et al 2005 
x-axis,12,degC,91,0,98,98,98,515,1345.5,9,3,MacNutt et al 2005 
x-axis,14,degC,92,0,154,154,154,607,1345,9,3,MacNutt et al 2005 
x-axis,16,degC,93,0,32,32,32,698,1344.5,9,3,MacNutt et al 2005 
x-axis,18,degC,94,0,98,98,98,789.5,1345,9,3,MacNutt et al 2005 
