Reference number,Species (latin name),Key origin,YEAR PUBLISHED,Sample size (size),Size MIN (kg),Size MAX (kg),Size MEAN (kg),Size error (kg),"UNIT, Size error (kg)",Length MIN (cm),Length MAX (cm),Length MEAN (cm),Size error (cm),"UNIT, Size error (cm)",UNIT,Sex (F/ M/mixed),Temp test mean (deg C),"Salinity (SW, FW, or SW/FW for brackish )",Swim  test,Indiv or group ,ID_fish,N_swim,Swim speed MIN (BL/s) ,Swim speed MAX BL/s,Swim speed MEAN BL/s,Swim speed SE BL/s,UNIT error,Duration swim or duration of the swim test (h) ,swim speed MIN (cm/s),swim speed MAX (cm/s),swim speed MEAN (cm/s),Swim error (cm/s),"UNIT, error (cm/s)",Water discharge or flow rates (cm/s),Water discharge or flow rates (m^3/s),Water/swim conditions (EXTRINSIC),Fish Condition (INTRINSIC),GSI (% MEAN),Gonad Weight,Blood sample analysis? (y/n),Mortality (y/n),Surgery ,"Recovery: (n, repeat, Metabolism, RR, blood,speed)",Tracking (y/n),"Unit source (text, table, plot) ",Full Reference,"Sample size (for swim; if n=1, may report ID)",Assigned population
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,1.594,NA,NA,NA,NA,54.1,NA,NA,FL,M,13.98135196,FW,Ucrit-1,indiv,89_ID18,1,NA,NA,3.212673891,NA,NA,0,NA,NA,131.3256575,NA,NA,NA,NA,NA,mature,4.814930991,76.75,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID18,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,3.003,NA,NA,NA,NA,62.5,NA,NA,FL,F,14.07668715,FW,Ucrit-1,indiv,89_ID19,1,NA,NA,3.027386999,NA,NA,0,NA,NA,170.2481624,NA,NA,NA,NA,NA,mature,22.47752248,675,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID19,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,2.06,NA,NA,NA,NA,56.4,NA,NA,FL,M,13.97907263,FW,Ucrit-1,indiv,89_ID20,1,NA,NA,3.59893925,NA,NA,0,NA,NA,148.9651737,NA,NA,NA,NA,NA,mature,3.998058252,82.36,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID20,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,2.287,NA,NA,NA,NA,59.8,NA,NA,FL,M,14.02644693,FW,Ucrit-1,indiv,89_ID21,1,NA,NA,3.398356978,NA,NA,0,NA,NA,176.7617473,NA,NA,NA,NA,NA,mature,4.199825098,96.05,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID21,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,2.584,NA,NA,NA,NA,61.5,NA,NA,FL,M,18.00510056,FW,Ucrit-1,indiv,89_ID22,1,NA,NA,2.857619083,NA,NA,0,NA,NA,131.8810736,NA,NA,NA,NA,NA,mature,3.926083591,101.45,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID22,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,1.611,NA,NA,NA,NA,54.5,NA,NA,FL,M,9.136195531,FW,Ucrit-1,indiv,89_ID23,1,NA,NA,2.400041114,NA,NA,0,NA,NA,109.4022407,NA,NA,NA,NA,NA,mature,5.408441962,87.13,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID23,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,2.461,NA,NA,NA,NA,61,NA,NA,FL,F,9.608452514,FW,Ucrit-1,indiv,89_ID24,1,NA,NA,2.83615648,NA,NA,0,NA,NA,167.7555453,NA,NA,NA,NA,NA,mature,18.97602601,467,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID24,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,1.525,NA,NA,NA,NA,54.2,NA,NA,FL,F,8.827441341,FW,Ucrit-1,indiv,89_ID25,1,NA,NA,2.487944941,NA,NA,0,NA,NA,113.5666158,NA,NA,NA,NA,NA,mature,19.3442623,295,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID25,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,1.885,NA,NA,NA,NA,56.6,NA,NA,FL,F,9.042955307,FW,Ucrit-1,indiv,89_ID26,1,NA,NA,3.592193695,NA,NA,0,NA,NA,135.2081631,NA,NA,NA,NA,NA,mature,21.06100796,397,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID26,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,1.9,NA,NA,NA,NA,53.9,NA,NA,FL,M,9.071815642,FW,Ucrit-1,indiv,89_ID27,1,NA,NA,3.061493766,NA,NA,0,NA,NA,121.372014,NA,NA,NA,NA,NA,mature,6.463157895,122.8,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID27,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,1.614,NA,NA,NA,NA,52.4,NA,NA,FL,F,9.028603352,FW,Ucrit-1,indiv,89_ID28,1,NA,NA,3.184146173,NA,NA,0,NA,NA,112.8792595,NA,NA,NA,NA,NA,mature,18.71127633,302,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID28,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,2.573,NA,NA,NA,NA,62.4,NA,NA,FL,M,9.805307263,FW,Ucrit-1,indiv,89_ID29,1,NA,NA,3.538663359,NA,NA,0,NA,NA,153.2725936,NA,NA,NA,NA,NA,mature,3.895064127,100.22,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID29,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,1.994,NA,NA,NA,NA,57.7,NA,NA,FL,M,8.900301676,FW,Ucrit-1,indiv,89_ID30,1,NA,NA,2.696604178,NA,NA,0,NA,NA,140.0015611,NA,NA,NA,NA,NA,mature,4.085255767,81.46,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID30,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,1.984,NA,NA,NA,NA,58.2,NA,NA,FL,F,9.453327778,FW,Ucrit-1,indiv,89_ID31,1,NA,NA,3.647249631,NA,NA,0,NA,NA,155.0699285,NA,NA,NA,NA,NA,mature,16.78427419,333,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID31,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,2.142,NA,NA,NA,NA,56.7,NA,NA,FL,F,9.236089385,FW,Ucrit-1,indiv,89_ID32,1,NA,NA,3.132148198,NA,NA,0,NA,NA,160.8828028,NA,NA,NA,NA,NA,mature,15.089169,323.21,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID32,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,2.028,NA,NA,NA,NA,56.1,NA,NA,FL,F,8.906296089,FW,Ucrit-1,indiv,89_ID33,1,NA,NA,2.767257301,NA,NA,0,NA,NA,105.6531346,NA,NA,NA,NA,NA,mature,13.85946746,281.07,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID33,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,1.549,NA,NA,NA,NA,54.7,NA,NA,FL,M,9.005832402,FW,Ucrit-1,indiv,89_ID34,1,NA,NA,3.191472987,NA,NA,0,NA,NA,153.0935724,NA,NA,NA,NA,NA,mature,4.843770174,75.03,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID34,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,1.856,NA,NA,NA,NA,54.3,NA,NA,FL,M,13.85756983,FW,Ucrit-1,indiv,89_ID35,1,NA,NA,3.652974223,NA,NA,0,NA,NA,145.0565003,NA,NA,NA,NA,NA,mature,7.199353448,133.62,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID35,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,2.519,NA,NA,NA,NA,60.8,NA,NA,FL,M,14.05132402,FW,Ucrit-1,indiv,89_ID36,1,NA,NA,3.204121037,NA,NA,0,NA,NA,161.920559,NA,NA,NA,NA,NA,mature,1.821754665,45.89,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID36,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,2.581,NA,NA,NA,NA,58.3,NA,NA,FL,F,9.122581006,FW,Ucrit-1,indiv,89_ID37,1,NA,NA,2.936393825,NA,NA,0,NA,NA,168.32676,NA,NA,NA,NA,NA,mature,NA,NA,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID37,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,2.708,NA,NA,NA,NA,58.9,NA,NA,FL,F,9.037234637,FW,Ucrit-1,indiv,89_ID38,1,NA,NA,2.6375643,NA,NA,0,NA,NA,140.8775373,NA,NA,NA,NA,NA,mature,11.7577548,318.4,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID38,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,3.255,NA,NA,NA,NA,64.5,NA,NA,FL,F,9.000424581,FW,Ucrit-1,indiv,89_ID39,1,NA,NA,3.085731732,NA,NA,0,NA,NA,154.5796967,NA,NA,NA,NA,NA,mature,9.929646697,323.21,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID39,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,2.284,NA,NA,NA,NA,60.5,NA,NA,FL,F,17.82475419,FW,Ucrit-1,indiv,89_ID40,1,NA,NA,2.810676446,NA,NA,0,NA,NA,161.61775,NA,NA,NA,NA,NA,mature,19.35201401,442,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID40,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,2.401,NA,NA,NA,NA,59.2,NA,NA,FL,F,18.30006704,FW,Ucrit-1,indiv,89_ID41,1,NA,NA,2.765886574,NA,NA,0,NA,NA,150.9364852,NA,NA,NA,NA,NA,mature,10.99541858,264,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID41,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,1.357,NA,NA,NA,NA,51,NA,NA,FL,M,18.27793296,FW,Ucrit-1,indiv,89_ID42,1,NA,NA,3.299768978,NA,NA,0,NA,NA,143.2882179,NA,NA,NA,NA,NA,mature,NA,NA,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID42,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,2.006,NA,NA,NA,NA,56.5,NA,NA,FL,F,9.068726257,FW,Ucrit-1,indiv,89_ID43,1,NA,NA,2.643250462,NA,NA,0,NA,NA,121.1302261,NA,NA,NA,NA,NA,mature,20.53838485,412,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID43,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,2.096,NA,NA,NA,NA,57.9,NA,NA,FL,M,9.041368715,FW,Ucrit-1,indiv,89_ID44,1,NA,NA,2.338429453,NA,NA,0,NA,NA,122.5925654,NA,NA,NA,NA,NA,mature,5.684637405,119.15,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID44,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,3.368,NA,NA,NA,NA,66.2,NA,NA,FL,M,9.146581006,FW,Ucrit-1,indiv,89_ID45,1,NA,NA,2.572663739,NA,NA,0,NA,NA,158.9003395,NA,NA,NA,NA,NA,mature,4.539786223,152.9,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID45,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,2.272,NA,NA,NA,NA,56.9,NA,NA,FL,F,14.28696089,FW,Ucrit-1,indiv,89_ID46,1,NA,NA,3.105318506,NA,NA,0,NA,NA,149.209388,NA,NA,NA,NA,NA,mature,18.75,426,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID46,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,1.708,NA,NA,NA,NA,52.6,NA,NA,FL,M,14.53487151,FW,Ucrit-1,indiv,89_ID47,1,NA,NA,3.779691902,NA,NA,0,NA,NA,160.111794,NA,NA,NA,NA,NA,mature,4.088992974,69.84,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID47,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,1.736,NA,NA,NA,NA,55.1,NA,NA,FL,M,14.44707263,FW,Ucrit-1,indiv,89_ID48,1,NA,NA,3.333855765,NA,NA,0,NA,NA,175.1287177,NA,NA,NA,NA,NA,mature,1.872119816,32.5,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID48,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,2.89,NA,NA,NA,NA,61.1,NA,NA,FL,F,9.178307263,FW,Ucrit-1,indiv,89_ID49,1,NA,NA,2.669898305,NA,NA,0,NA,NA,153.6139514,NA,NA,NA,NA,NA,mature,10.19273356,294.57,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID49,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,4.108,NA,NA,NA,NA,71.4,NA,NA,FL,M,9.241944134,FW,Ucrit-1,indiv,89_ID50,1,NA,NA,2.989358407,NA,NA,0,NA,NA,144.8001902,NA,NA,NA,NA,NA,mature,2.792843233,114.73,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID50,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,1.759,NA,NA,NA,NA,55.5,NA,NA,FL,M,9.35303352,FW,Ucrit-1,indiv,89_ID51,1,NA,NA,2.91047097,NA,NA,0,NA,NA,143.3635639,NA,NA,NA,NA,NA,mature,3.909039227,68.76,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID51,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,1.899,NA,NA,NA,NA,56.8,NA,NA,FL,F,14.08135754,FW,Ucrit-1,indiv,89_ID52,1,NA,NA,2.70187696,NA,NA,0,NA,NA,134.8656813,NA,NA,NA,NA,NA,mature,23.01211164,437,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID52,NA
89,Oncorhynchus kisutch,wild,2021,1,NA,NA,2.799,NA,NA,NA,NA,60.3,NA,NA,FL,F,14.1276257,FW,Ucrit-1,indiv,89_ID53,1,NA,NA,3.37848943,NA,NA,0,NA,NA,170.6127577,NA,NA,NA,NA,NA,mature,10.39442658,290.94,n,n,NA,Metabolism,n,personal,"Kraskura, K., Hardison, E.A., Little, A.G., Dressler, T., Prystay, T.S., Hendriks, B., Farrell, A.P., Cooke, S.J., Patterson, D.A., Hinch, S.G., Eliason, E.J., 2021. Sex-specific differences in swimming, aerobic metabolism and recovery from exercise in adult coho salmon (Oncorhynchus kisutch) across ecologically relevant temperatures. Conservation Physiology 9, coab016. https://doi.org/10.1093/conphys/coab016",ID53,NA
