Reference number,Species (latin name),Key origin,YEAR PUBLISHED,Sample size (size),Size MIN (kg),Size MAX (kg),Size MEAN (kg),Size error (kg),"UNIT, Size error (kg)",Length MIN (cm),Length MAX (cm),Length MEAN (cm),Size error (cm),"UNIT, Size error (cm)",UNIT,Sex (F/ M/mixed),Temp test mean (deg C),"Salinity (SW, FW, or SW/FW for brackish )",Swim  test,Indiv or group ,ID_fish,N_swim,Swim speed MIN (BL/s) ,Swim speed MAX BL/s,Swim speed MEAN BL/s,Swim speed SE BL/s,UNIT error,Duration swim or duration of the swim test (h) ,swim speed MIN (cm/s),swim speed MAX (cm/s),swim speed MEAN (cm/s),Swim error (cm/s),"UNIT, error (cm/s)",Water discharge or flow rates (cm/s),Water discharge or flow rates (m^3/s),Water/swim conditions (EXTRINSIC),Fish Condition (INTRINSIC),GSI (% MEAN),Gonad Weight,Blood sample analysis? (y/n),Mortality (y/n),Surgery ,"Recovery: (n, repeat, Metabolism, RR, blood,speed)",Tracking (y/n),"Unit source (text, table, plot) ",Full Reference,"Sample size (for swim; if n=1, may report ID)",Assigned population
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,66.9,NA,NA,TL,mixed,9.5,SW,Field,indiv,5_ID-8510,1,NA,NA,0.57,NA,NA,NA,NA,NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8510,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,65.8,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8511,1,NA,NA,0.9,NA,NA,NA,NA,NA,59.1,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8511,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,64.8,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8512,1,NA,NA,0.56,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8512,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,64.8,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8513,1,NA,NA,0.5,NA,NA,NA,NA,NA,32.2,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8513,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8514,1,NA,NA,1.36,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8514,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8516,1,NA,NA,1.51,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8516,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8601,1,NA,NA,0.74,NA,NA,NA,NA,NA,51.2,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8601,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,61.7,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8602,1,NA,NA,1.75,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8602,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,65.3,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8603,1,NA,NA,0.5,NA,NA,NA,NA,NA,32.8,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8603,NA
5,Oncorhynchus nerka,wild,1988,1,NA,NA,NA,NA,NA,NA,NA,63.2,NA,NA,TL,mixed,16,SW,Field,indiv,5_ID-8604,1,NA,NA,0.67,NA,NA,NA,NA,NA,42.4,NA,NA,NA,NA,NA,NA,NA,NA,n,n,EMGtag,n,y,table,"Quinn, T.P., 1988. Estimated swimming speeds of migrating adult sockeye salmon. Canadian Journal of Zoology 66, 2160–2163. https://doi.org/10.1139/z88-322",ID-8604,NA
